Timing:;Implementatie 1;Implementatie 2;;;
generation_time;0.000802;0.001037;;;
;0.000599;0.000687;;;
;0.000599;0.000688;;;
;0.000388;0.000713;;;
;0.000594;0.00069;;;
;0.000593;0.000556;;;
;0.000589;0.000564;;;
;0.00059;0.000692;;;
;0.000585;0.000562;;;
;0.000594;0.00052;;;
;0.000592;0.000539;;;
;0.000586;0.000531;;;
;0.000592;0.000518;;;
;0.000589;0.000728;;;
;0.000587;0.000739;;;
;0.000615;0.000757;;;
;0.000585;0.000766;;;
;0.000588;0.000779;;;
;0.000286;0.000718;;;
;0.000578;0.000743;;;
;0.000584;0.00075;;;
;0.000581;0.000767;;;
;0.000585;0.000752;;;
;0.000288;0.00057;;;
;0.00058;0.000567;;;
;0.000588;0.000579;;;
;0.000585;0.000565;;;
;0.000609;0.000603;;;
;0.000587;0.000514;;;
;0.000583;0.000538;;;"Tijdswinst wordt veroorzaakt door overschakelen van synchroon naar asynchroon, maar vooral door verwijderen onnodige ""cudaDeviceSynchronize();"" want eigenlijk gebeurt er niet zo veel extra asynchroon."
;0.000587;0.000784;;;Het asynchroon maken is wel een voordeel indien je deze implementatie verder zou willen combineren in een groter programma waar meer zaken geparralleliseerd kunnen worden.
;0.000587;0.000476;;;
;0.00057;0.000487;;;
;0.000592;0.001407;;;
;0.00059;0.000459;;;
;0.000595;0.000476;;;
;0.000604;0.000474;;;
;0.001263;0.000471;;;
;0.000595;0.000554;;;
;0.000591;0.000596;;;
;0.000606;0.0006;;;
;0.000602;0.000607;;;
;0.00029;0.000587;;;
;0.000588;0.000506;;;
;0.00059;0.000478;;;
;0.000596;0.000518;;;
;0.000593;0.000523;;;
;0.000593;0.000492;;;
;0.000589;0.00047;;;
;0.000626;0.000475;;;
;0.00062;0.000473;;;
;0.000593;0.000475;;;
;0.000593;0.000474;;;
;0.000592;0.000475;;;
;0.00059;0.000472;;;
;0.000593;0.000499;;;
;0.000583;0.001934;;;
;0.000594;0.00052;;;
;0.001379;0.003469;;;
;0.00405;0.000251;;;
;0.000593;0.000248;;;
;0.000597;0.000248;;;
;0.000593;0.000244;;;
;0.000292;0.00028;;;
;0.0006;0.000296;;;
;0.000611;0.000282;;;
;0.000596;0.000281;;;
;0.000604;0.000269;;;
;0.000591;0.000278;;;
;0.000588;0.000287;;;
;0.000606;0.00028;;;
;0.000583;0.000325;;;
;0.000566;0.000342;;;
;0.000595;0.000342;;;
;0.000616;0.000341;;;
;0.000593;0.000342;;;
;0.000591;0.000331;;;
;0.000605;0.000338;;;
;0.000589;0.000336;;;
;0.000295;0.000356;;;
;0.000905;0.000345;;;
;0.000565;0.000337;;;
;0.000585;0.000339;;;
;0.000288;0.000331;;;
;0.000576;0.000341;;;
;0.000609;0.000339;;;
;0.000586;0.000328;;;
;0.000566;0.000338;;;
;0.000592;0.000338;;;
;0.000587;0.000339;;;
;0.000582;0.00033;;;
;0.000603;0.000332;;;
;0.000586;0.001875;;;
;0.000581;0.00047;;;
;0.000583;0.00039;;;
;0.000585;0.002725;;;
;0.000588;0.000774;;;
;0.000584;0.000275;;;
;0.000581;0.000275;;;
;0.000571;0.000274;;;
;0.000585;0.0003;;;
;0.000609;0.000297;;;
;0.000587;0.000303;;;
;0.000587;0.000325;;;
;0.000584;0.000345;;;
;0.000586;0.000285;;;
